year_month,land_avg_temp,land_max_temp,land_min_temp,land_ocean_avg_temp,north_min_temp_anomoly,north_max_temp_anomoly,north_mean_temp_anomoly,global_avg_co2,seaice_extent
1900-01,1.461,7.193,-4.102,13.142,-1.518,-1.265,-1.211,,
1900-02,3.098,9.181,-2.814,13.777,-0.312,-0.007,-0.054,,
1900-03,5.492,11.377,-0.68,14.4,-0.036,0.353,0.407,,
1900-04,8.223,13.972,2.131,15.17,-0.531,-0.343,-0.077,,
1900-05,11.385,17.415,5.179,15.955,-0.233,0.416,0.375,,
1900-06,13.293,19.434,7.112,16.515,-0.516,0.293,0.011,,
1900-07,14.171,19.897,8.095,16.785,-0.577,-0.189,-0.092,,
1900-08,13.816,19.85,7.892,16.699,-0.204,0.274,0.038,,
1900-09,11.955,17.818,5.967,16.124,-0.308,-0.129,-0.011,,
1900-10,9.666,15.544,3.833,15.373,0.215,0.379,0.439,,
1900-11,5.804,11.527,0.121,14.189,-0.511,-0.28,-0.327,,
1900-12,3.655,9.466,-1.826,13.598,-0.27,0.038,0.06,,
1901-01,2.191,7.996,-3.491,13.29,-0.787,-0.435,-0.411,,
1901-02,3.092,9.038,-2.678,13.66,-0.08,0.232,0.145,,
1901-03,5.671,11.476,-0.644,14.383,0.149,0.483,0.71,,
1901-04,8.522,14.733,2.264,15.22,-0.208,0.616,0.469,,
1901-05,11.178,17.315,4.855,15.936,-0.617,0.229,0.043,,
1901-06,13.423,19.315,7.151,16.441,-0.411,0.167,0.137,,
1901-07,14.339,20.34,8.161,16.718,-0.354,0.398,0.185,,
1901-08,13.789,19.898,7.66,16.663,-0.318,0.423,0.099,,
1901-09,11.984,17.929,5.819,16.001,-0.572,-0.036,-0.141,,
1901-10,9.003,15.002,2.998,15.087,-0.663,-0.109,-0.351,,
1901-11,5.976,12.043,0.071,14.101,-0.528,0.347,-0.064,,
1901-12,3.335,9.061,-2.28,13.38,-0.853,-0.306,-0.342,,
1902-01,2.684,8.797,-3.031,13.302,-0.272,0.738,0.253,,
1902-02,3.606,9.814,-2.504,13.691,0.135,1.039,0.748,,
1902-03,4.883,11.166,-1.339,14.1,-0.746,-0.114,-0.278,,
1902-04,7.956,13.884,1.562,14.958,-1.067,-0.661,-0.448,,
1902-05,10.893,16.986,4.587,15.719,-0.805,-0.255,-0.437,,
1902-06,13.214,19.338,6.894,16.284,-0.746,-0.072,-0.197,,
1902-07,14.231,20.2,7.965,16.69,-0.675,-0.089,-0.112,,
1902-08,13.599,19.884,7.449,16.591,-0.666,0.352,-0.072,,
1902-09,11.799,17.897,5.555,16.032,-0.758,-0.022,-0.287,,
1902-10,8.801,14.811,2.759,14.991,-0.865,-0.258,-0.539,,
1902-11,5.274,11.159,-0.46,13.902,-1.14,-0.511,-0.912,,
1902-12,2.713,8.435,-2.992,13.24,-1.558,-0.933,-1.149,,
1903-01,2.514,8.415,-3.187,13.275,-0.319,0.171,0.02,,
1903-02,3.555,9.297,-2.49,13.668,0.102,0.326,0.571,,
1903-03,4.93,10.963,-1.158,14.05,-0.569,-0.309,-0.252,,
1903-04,7.832,13.958,1.698,14.801,-0.94,-0.381,-0.433,,
1903-05,10.794,16.672,4.587,15.645,-0.778,-0.422,-0.355,,
1903-06,12.886,18.897,6.723,16.161,-0.775,-0.495,-0.514,,
1903-07,13.992,19.787,7.87,16.496,-0.762,-0.423,-0.332,,
1903-08,13.412,19.298,7.558,16.304,-0.633,-0.497,-0.433,,
1903-09,11.501,17.356,5.642,15.771,-0.621,-0.493,-0.558,,
1903-10,8.812,14.634,2.895,14.835,-0.754,-0.495,-0.453,,
1903-11,5.516,11.219,-0.051,13.828,-0.631,-0.363,-0.365,,
1903-12,2.898,8.533,-2.687,13.205,-1.015,-0.47,-0.647,,
1904-01,1.637,7.082,-3.86,12.957,-1.054,-1.102,-0.752,,
1904-02,2.297,8.507,-3.583,13.154,-1.048,-0.363,-0.615,,
1904-03,4.506,10.559,-1.575,13.859,-0.858,-0.463,-0.492,,
1904-04,7.684,13.823,1.428,14.755,-1.077,-0.573,-0.629,,
1904-05,10.84,16.922,4.641,15.573,-0.729,-0.129,-0.233,,
1904-06,13.014,19.092,6.778,16.207,-0.79,-0.185,-0.312,,
1904-07,13.836,19.678,7.777,16.525,-0.92,-0.483,-0.533,,
1904-08,13.459,19.525,7.462,16.403,-0.615,-0.02,-0.25,,
1904-09,11.381,17.465,5.361,15.768,-0.967,-0.368,-0.631,,
1904-10,8.833,14.902,3.133,14.947,-0.513,-0.148,-0.402,,
1904-11,6.23,11.997,0.558,14.144,0.181,0.417,0.413,,
1904-12,3.374,9.212,-2.067,13.433,-0.397,-0.052,-0.153,,
1905-01,2.254,8.017,-3.324,13.205,-0.529,-0.368,-0.17,,
1905-02,1.927,7.735,-3.951,13.206,-1.474,-1.506,-1.244,,
1905-03,4.635,10.466,-1.308,14.035,-0.629,-0.75,-0.438,,
1905-04,7.755,13.622,1.493,14.857,-1.049,-0.752,-0.608,,
1905-05,10.982,16.946,4.819,15.788,-0.51,-0.268,-0.234,,
1905-06,13.112,19.11,6.944,16.379,-0.561,-0.409,-0.275,,
1905-07,14.077,19.877,8.038,16.651,-0.531,-0.273,-0.113,,
1905-08,13.578,19.619,7.72,16.558,-0.37,-0.106,-0.129,,
1905-09,11.804,17.684,5.928,16.004,-0.304,-0.262,-0.175,,
1905-10,9.041,14.866,3.117,15.091,-0.432,-0.216,-0.326,,
1905-11,6.183,11.984,0.574,14.232,0.264,0.403,0.272,,
1905-12,3.354,9.06,-1.931,13.45,-0.32,-0.254,-0.314,,
1906-01,2.068,8.086,-3.637,13.25,-1.118,-0.397,-0.71,,
1906-02,2.301,8.125,-3.343,13.502,-1.039,-1.201,-0.935,,
1906-03,4.866,11.008,-1.229,14.245,-0.455,-0.14,-0.106,,
1906-04,8.626,14.786,2.422,15.23,0.019,0.395,0.466,,
1906-05,11.24,17.146,4.922,15.769,-0.305,-0.036,0.03,,
1906-06,13.334,19.287,7.275,16.436,-0.224,-0.008,0.107,,
1906-07,14.122,20.058,8.186,16.662,-0.392,-0.062,-0.15,,
1906-08,13.691,19.539,7.843,16.593,-0.262,-0.013,0.001,,
1906-09,11.772,17.522,5.884,15.95,-0.373,-0.211,-0.165,,
1906-10,9.267,14.943,3.479,15.152,-0.08,-0.134,0.031,,
1906-11,5.501,11.17,-0.301,14.054,-0.758,-0.413,-0.482,,
1906-12,3.761,9.258,-1.664,13.54,0.128,0.159,0.268,,
1907-01,1.798,7.903,-3.867,13.108,-1.155,-0.33,-0.8,,
1907-02,2.117,7.993,-3.603,13.257,-1.177,-1.255,-1.04,,
1907-03,4.575,10.61,-1.6,14.15,-0.961,-0.653,-0.533,,
1907-04,7.579,13.401,1.521,14.918,-1.036,-1.046,-0.672,,
1907-05,10.375,16.335,4.084,15.602,-1.297,-0.934,-0.833,,
1907-06,12.729,18.576,6.509,16.253,-1.099,-0.612,-0.624,,
1907-07,13.769,19.626,7.761,16.596,-0.824,-0.482,-0.45,,
1907-08,13.362,19.187,7.465,16.456,-0.524,-0.478,-0.33,,
1907-09,11.665,17.443,5.59,15.902,-0.637,-0.442,-0.32,,
