year_fractionofyear,,GMSL
1993.256,1993,-33.48
1993.555,1993,-33.72
1993.827,1993,-34.91
1994.207,1994,-30.16
1994.478,1994,-31.16
1994.859,1994,-30.6
1995.185,1995,-26.64
1995.348,1995,-26.94
1995.511,1995,-28.39
1995.810,1995,-27.98
1995.918,1995,-26.87
1996.135,1996,-27.27
1996.460,1996,-23.83
1996.785,1996,-23.37
1997.111,1997,-26.35
1997.437,1997,-21.66
1997.600,1997,-18.74
1997.763,1997,-16.94
1998.062,1998,-20.1
1998.388,1998,-21.79
1998.578,1998,-26.4
1998.795,1998,-27.01
1999.067,1999,-23.85
1999.311,1999,-20.02
1999.664,1999,-20.13
1999.936,1999,-17.38
2000.261,2000,-17.15
2000.559,2000,-18.76
2000.830,2000,-13.91
2001.047,2001,-14.31
1993.012,1993,-38.57
1993.039,1993,-39.11
1993.066,1993,-38.58
1993.093,1993,-38.34
1993.120,1993,-37.21
1993.147,1993,-35.98
1993.175,1993,-34.94
1993.202,1993,-34.19
1993.229,1993,-33.72
1993.283,1993,-33.38
1993.310,1993,-33.41
1993.338,1993,-33.54
1993.365,1993,-33.48
1993.392,1993,-33.59
1993.419,1993,-33.19
1993.446,1993,-33.02
1993.473,1993,-32.87
1993.501,1993,-33.01
1993.528,1993,-33.37
1993.582,1993,-33.92
1993.609,1993,-34.04
1993.636,1993,-34.22
1993.664,1993,-34.39
1993.691,1993,-34.59
1993.718,1993,-34.76
1993.745,1993,-34.59
1993.772,1993,-34.49
1993.799,1993,-34.58
1993.854,1993,-35.16
1993.881,1993,-34.96
1993.908,1993,-34.25
1993.935,1993,-33.24
1993.962,1993,-32.24
1993.990,1993,-31.77
1994.017,1994,-31.2
1994.044,1994,-30.96
1994.071,1994,-31.26
1994.098,1994,-31.78
1994.125,1994,-32.16
1994.153,1994,-32.05
1994.180,1994,-31.27
1994.234,1994,-29.29
1994.261,1994,-29.02
1994.288,1994,-29.42
1994.316,1994,-29.66
1994.343,1994,-30.16
1994.370,1994,-30.39
1994.397,1994,-30.83
1994.424,1994,-30.94
1994.451,1994,-31.04
1994.506,1994,-31.24
1994.533,1994,-31.26
1994.560,1994,-31.29
1994.587,1994,-31.33
1994.614,1994,-31.33
1994.641,1994,-31.31
1994.669,1994,-31.25
1994.696,1994,-31.01
1994.723,1994,-30.93
1994.750,1994,-30.8
1994.777,1994,-30.58
1994.804,1994,-30.38
1994.832,1994,-30.39
1994.886,1994,-30.58
1994.913,1994,-29.95
1994.940,1994,-28.75
1994.967,1994,-27.39
1994.995,1994,-26.56
1995.022,1995,-26.03
1995.049,1995,-25.78
1995.076,1995,-26.29
1995.103,1995,-26.89
1995.130,1995,-27.23
1995.158,1995,-26.91
1995.212,1995,-26.36
1995.239,1995,-26.44
1995.266,1995,-26.68
1995.293,1995,-26.89
1995.321,1995,-26.9
1995.375,1995,-27
1995.402,1995,-26.97
1995.429,1995,-27.1
1995.456,1995,-27.48
1995.484,1995,-28.07
1995.538,1995,-29.02
1995.565,1995,-29.2
1995.592,1995,-29.21
1995.619,1995,-28.81
1995.647,1995,-28.49
1995.674,1995,-28.05
1995.701,1995,-27.3
1995.728,1995,-27.47
1995.755,1995,-27.17
1995.782,1995,-27.57
1995.837,1995,-28.09
1995.864,1995,-27.83
1995.891,1995,-27.35
1995.945,1995,-26.84
1995.973,1995,-26.9
1996.000,1995,-27.11
1996.027,1996,-27.72
1996.054,1996,-28.19
1996.081,1996,-27.92
1996.108,1996,-27.83
1996.162,1996,-26.89
1996.189,1996,-26.8
1996.217,1996,-26.88
1996.244,1996,-26.97
1996.271,1996,-26.8
1996.298,1996,-26.52
1996.325,1996,-26.18
1996.352,1996,-25.61
1996.379,1996,-25.08
1996.406,1996,-24.62
1996.433,1996,-24.22
1996.487,1996,-23.5
1996.515,1996,-23.32
1996.542,1996,-23.35
1996.569,1996,-23.66
1996.596,1996,-24.34
1996.623,1996,-25.01
1996.650,1996,-25.72
1996.677,1996,-26.08
