iso_code,year,co2,methane,nitrous_oxide,population
AFG,1949,0.015,,,7663783
AFG,1950,0.084,,,7752000
AFG,1951,0.092,,,7840000
AFG,1952,0.092,,,7936000
AFG,1953,0.106,,,8040000
AFG,1954,0.106,,,8151000
AFG,1955,0.154,,,8271000
AFG,1956,0.183,,,8399000
AFG,1957,0.293,,,8535000
AFG,1958,0.33,,,8680000
AFG,1959,0.385,,,8834000
AFG,1960,0.414,,,8997000
AFG,1961,0.491,,,9169000
AFG,1962,0.689,,,9351000
AFG,1963,0.707,,,9543000
AFG,1964,0.839,,,9745000
AFG,1965,1.007,,,9956000
AFG,1966,1.091,,,10175000
AFG,1967,1.282,,,10400000
AFG,1968,1.223,,,10637000
AFG,1969,0.941,,,10894000
AFG,1970,1.67,,,11174000
AFG,1971,1.894,,,11475000
AFG,1972,1.531,,,11791000
AFG,1973,1.637,,,12109000
AFG,1974,1.916,,,12413000
AFG,1975,2.125,,,12689000
AFG,1976,1.984,,,12943000
AFG,1977,2.387,,,13171000
AFG,1978,2.155,,,13341000
AFG,1979,2.235,,,13411000
AFG,1980,1.757,,,13357000
AFG,1981,1.979,,,13172000
AFG,1982,2.096,,,12883000
AFG,1983,2.52,,,12538000
AFG,1984,2.822,,,12204000
AFG,1985,3.502,,,11938000
AFG,1986,3.134,,,11736000
AFG,1987,3.114,,,11605000
AFG,1988,2.857,,,11618000
AFG,1989,2.765,,,11869000
AFG,1990,2.602,8.97,3.25,12412000
AFG,1991,2.426,9.07,3.3,13299000
AFG,1992,1.382,9,3.21,14486000
AFG,1993,1.334,8.9,3.21,15817000
AFG,1994,1.282,8.97,2.99,17076000
AFG,1995,1.231,9.15,3.07,18111000
AFG,1996,1.165,9.93,3.29,18853000
AFG,1997,1.084,10.6,3.59,19357000
AFG,1998,1.029,11.1,3.88,19738000
AFG,1999,0.81,11.87,4.15,20171000
AFG,2000,0.768,10.59,3.62,20780000
AFG,2001,0.812,9.36,3.22,21607000
AFG,2002,1.064,11.21,3.72,22601000
AFG,2003,1.205,11.56,3.92,23681000
AFG,2004,0.908,11.47,3.82,24727000
AFG,2005,1.32,11.68,3.97,25654000
AFG,2006,1.643,14.89,4.06,26433000
AFG,2007,2.268,18.1,4.25,27101000
AFG,2008,4.198,22.19,4.81,27722000
AFG,2009,6.76,25.43,5.32,28395000
AFG,2010,8.452,30.04,6.03,29186000
AFG,2011,12.226,39.48,6.61,30117000
AFG,2012,10.742,48.78,7.16,31161000
AFG,2013,9.037,58.13,7.72,32270000
AFG,2014,8.45,67.77,8.55,33371000
AFG,2015,9.02,76.62,8.59,34414000
AFG,2016,8.653,78.17,9.13,35383000
AFG,2017,8.971,,,36296000
AFG,2018,9.439,,,37172000
,1751,0,,,
,1752,0,,,
,1753,0,,,
,1754,0,,,
,1755,0,,,
,1756,0,,,
,1757,0,,,
,1758,0,,,
,1759,0,,,
,1760,0,,,83152512
,1761,0,,,
,1762,0,,,
,1763,0,,,
,1764,0,,,
,1765,0,,,
,1766,0,,,
,1767,0,,,
,1768,0,,,
,1769,0,,,
,1770,0,,,83681184
,1771,0,,,
,1772,0,,,
,1773,0,,,
,1774,0,,,
,1775,0,,,
,1776,0,,,
,1777,0,,,
,1778,0,,,
,1779,0,,,
,1780,0,,,84262792
,1781,0,,,
,1782,0,,,
,1783,0,,,
,1784,0,,,
,1785,0,,,
,1786,0,,,
,1787,0,,,
,1788,0,,,
,1789,0,,,
,1790,0,,,84900352
,1791,0,,,
,1792,0,,,
,1793,0,,,
,1794,0,,,
,1795,0,,,
,1796,0,,,
,1797,0,,,
,1798,0,,,
,1799,0,,,
,1800,0,,,85589224
,1801,0,,,
,1802,0,,,
,1803,0,,,
,1804,0,,,
,1805,0,,,
,1806,0,,,
,1807,0,,,
,1808,0,,,
,1809,0,,,
,1810,0,,,86829040
,1811,0,,,
,1812,0,,,
,1813,0,,,
,1814,0,,,
,1815,0,,,
,1816,0,,,
,1817,0,,,
,1818,0,,,
,1819,0,,,
,1820,0,,,89179576
,1821,0,,,
,1822,0,,,
,1823,0,,,
,1824,0,,,
,1825,0,,,
,1826,0,,,
,1827,0,,,
,1828,0,,,
,1829,0,,,
,1830,0,,,93551648
,1831,0,,,
,1832,0,,,
,1833,0,,,
,1834,0,,,
,1835,0,,,
,1836,0,,,
,1837,0,,,
,1838,0,,,
,1839,0,,,
,1840,0,,,98188272
,1841,0,,,
,1842,0,,,
,1843,0,,,
,1844,0,,,
,1845,0,,,
,1846,0,,,
,1847,0,,,
,1848,0,,,
,1849,0,,,
,1850,0,,,102932088
,1851,0,,,
,1852,0,,,
,1853,0,,,
,1854,0,,,
,1855,0,,,
,1856,0,,,
,1857,0,,,
,1858,0,,,
,1859,0,,,
,1860,0,,,107457472
,1861,0,,,
,1862,0,,,
,1863,0,,,
,1864,0,,,
,1865,0,,,
,1866,0,,,
,1867,0,,,
,1868,0,,,
,1869,0,,,
,1870,0,,,114300952
,1871,0,,,
,1872,0,,,
,1873,0,,,
,1874,0,,,
,1875,0,,,
,1876,0,,,
,1877,0,,,
,1878,0,,,
,1879,0,,,
,1880,0,,,122176248
,1881,0,,,
,1882,0,,,
,1883,0,,,
,1884,0.022,,,
,1885,0.037,,,
,1886,0.048,,,
,1887,0.048,,,
,1888,0.081,,,
,1889,0.132,,,
,1890,0.297,,,131305600
,1891,0.297,,,
,1892,0.48,,,
,1893,1.799,,,
,1894,2.433,,,
,1895,3.338,,,
,1896,4.258,,,
,1897,4.778,,,
,1898,6.049,,,
,1899,5.518,,,
,1900,2.33,,,140754896
,1901,3.909,,,
,1902,5.826,,,
,1903,7.896,,,
,1904,8.911,,,
,1905,10.263,,,
,1906,11.717,,,
,1907,12.93,,,
,1908,13.403,,,
,1909,15.385,,,
,1910,17.411,,,150280992
,1911,16.865,,,
,1912,17.954,,,
,1913,19.606,,,
,1914,19.551,,,
,1915,19.606,,,
,1916,23.255,,,
,1917,25.344,,,
,1918,24.725,,,
,1919,25.443,,,
,1920,28.052,,,164856080
,1921,27.986,,,
,1922,23.97,,,
,1923,29.045,,,
,1924,30.631,,,
,1925,32.185,,,
,1926,34.438,,,
,1927,33.841,,,
,1928,34.771,,,
,1929,35.805,,,
,1930,33.698,,,181280496
,1931,29.466,,,
,1932,26.626,,,
,1933,28.495,,,
,1934,32.544,,,
,1935,35.915,,,
,1936,39.022,,,
,1937,41.85,,,
,1938,44.019,,,
,1939,46.859,,,
,1940,49.655,,,200894592
,1941,54.029,,,
,1942,58.829,,,
,1943,60.126,,,
,1944,66.641,,,
,1945,67.535,,,
,1946,68.169,,,
,1947,67.945,,,
,1948,71.745,,,
,1949,77.336,,,
,1950,87.251,,,227794000
,1951,93.124,,,232328000
,1952,101.255,,,237096992
,1953,102.544,,,242092000
,1954,107.128,,,247311008
,1955,117.486,,,252748992
,1956,121.931,,,258408000
,1957,127.951,,,264292000
,1958,137.466,,,270407008
,1959,147.944,,,276760992
,1960,156.673,,,283360992
,1961,162.111,,,290214016
,1962,166.467,,,297323008
,1963,176.481,,,304683008
,1964,193.793,,,312292000
,1965,213.817,,,320147008
,1966,221.291,,,328256992
,1967,237.29,,,336631008
,1968,257.535,,,345280000
,1969,278.161,,,354215008
,1970,302.943,,,363448000
,1971,332.211,,,372984000
,1972,352.253,,,382838016
,1973,378.442,,,393044000
,1974,388.897,,,403646016
,1975,387.869,,,414675008
,1976,420.91,,,426144000
,1977,433.768,,,438055008
,1978,463.346,,,450404000
,1979,500.092,,,463184000
,1980,536.634,,,476385984
,1981,549.528,,,490004000
,1982,572.76,,,504033984
,1983,595.613,,,518480000
,1984,650.46,,,533344992
,1985,666.875,,,548625984
,1986,690.904,,,564326976
,1987,691.013,,,580424000
,1988,726.285,,,596849024
,1989,699.477,,,613512000
,1990,658.146,,,630350016
,1991,687.395,,,647344000
,1992,669.867,,,664512000
,1993,710.343,,,681868992
,1994,721.157,,,699444992
,1995,773.232,,,717270016
,1996,783.901,,,735361024
,1997,813.942,,,753737984
,1998,838.13,,,772436992
,1999,830.384,,,791504000
,2000,891.37,,,810984000
,2001,885.188,,,830902976
,2002,890.496,,,851297984
,2003,966.578,,,872248000
,2004,1033.39,,,893843008
,2005,1051.692,,,916153984
,2006,1091.649,,,939209984
,2007,1134.625,,,963022016
,2008,1185.106,,,987624000
,2009,1196.466,,,1013046016
,2010,1220.494,,,1039304000
,2011,1250.925,,,1066409984
,2012,1260.972,,,1094343040
,2013,1277.276,,,1123044992
,2014,1365.298,,,1152434048
,2015,1330.237,,,1182439040
,2016,1354.961,,,1213041024
,2017,1370.14,,,1244221952
,2018,1400.841,,,1275921024
ALB,1933,0.007,,,1032197
ALB,1934,0.007,,,1037713
ALB,1935,0.018,,,1043229
ALB,1936,0.128,,,1052538
ALB,1937,0.297,,,1063225
ALB,1938,0.348,,,1082532
ALB,1939,0.432,,,1102527
ALB,1940,0.692,,,1123213
ALB,1941,0.627,,,1139416
ALB,1942,0.744,,,1150104
ALB,1943,0.462,,,1157688
ALB,1944,0.154,,,1164928
ALB,1945,0.121,,,1176994
ALB,1946,0.484,,,1195267
ALB,1947,0.927,,,1213883
ALB,1948,0.703,,,1232845
ALB,1949,1.015,,,1246636
ALB,1950,0.297,,,1263000
ALB,1951,0.403,,,1287000
ALB,1952,0.374,,,1316000
ALB,1953,0.414,,,1348000
ALB,1954,0.502,,,1383000
ALB,1955,0.663,,,1420000
ALB,1956,0.839,,,1459000
ALB,1957,1.506,,,1500000
ALB,1958,1.202,,,1543000
ALB,1959,1.444,,,1589000
ALB,1960,2.023,,,1636000
ALB,1961,2.279,,,1686000
ALB,1962,2.462,,,1738000
ALB,1963,2.081,,,1791000
ALB,1964,2.015,,,1844000
ALB,1965,2.173,,,1896000
ALB,1966,2.55,,,1948000
ALB,1967,2.678,,,1999000
ALB,1968,3.07,,,2049000
ALB,1969,3.243,,,2100000
ALB,1970,3.741,,,2151000
ALB,1971,4.349,,,2202000
ALB,1972,5.639,,,2254000
ALB,1973,5.287,,,2306000
ALB,1974,4.342,,,2359000
ALB,1975,4.591,,,2412000
ALB,1976,4.946,,,2465000
ALB,1977,5.716,,,2519000
ALB,1978,6.489,,,2573000
ALB,1979,7.581,,,2628000
ALB,1980,5.166,,,2683000
ALB,1981,7.335,,,2737000
ALB,1982,7.302,,,2790000
ALB,1983,7.625,,,2845000
ALB,1984,7.819,,,2904000
ALB,1985,7.874,,,2970000
ALB,1986,8.05,,,3044000
ALB,1987,7.438,,,3125000
ALB,1988,7.321,,,3201000
ALB,1989,8.977,,,3258000
ALB,1990,5.511,3.67,1.59,3286000
ALB,1991,4.283,3.62,1.22,3280000
ALB,1992,2.514,3.52,1.14,3246000
ALB,1993,2.334,3.58,1.17,3195000
ALB,1994,1.924,4.15,1.38,3147000
ALB,1995,2.085,4.13,1.34,3113000
ALB,1996,2.015,3.96,1.19,3099000
ALB,1997,1.543,3.77,1.14,3100000
ALB,1998,1.751,3.63,1.18,3111000
ALB,1999,2.982,3.7,1.12,3123000
ALB,2000,3.019,3.79,1.21,3129000
